,season,team,conference,off_plays,off_drives,off_total_ppa,successful_plays,off_success_rate,off_line_yds_total,off_second_lvl_yds_total,off_open_field_yds_total,off_havoc_plays,off_havoc_total,off_standard_downs,off_standard_downs_rate,off_standard_down_ppa_total,off_standard_down_success,off_standard_downs_success_rate,off_standard_downs_explosiveness,off_passing_downs,off_passing_downs_rate,off_passing_down_ppa,off_passing_down_successes,off_passing_downs_success_rate,off_passing_downs_explosiveness,off_rushing_plays,off_rushing_plays_rate,off_rushing_plays_total_ppa,successful_rushes,off_rushing_plays_success_rate,off_rushing_plays_explosiveness,off_passing_plays,off_passing_plays_rate,off_passing_plays_total_ppa,successful_passes,off_passing_plays_success_rate,off_passing_plays_explosiveness,def_plays,def_drives,def_total_ppa,def_successful_def_downs,def_success_rate,def_explosiveness,def_line_yds_total,def_second_lvl_yds_total,def_open_field_yds_total,def_havoc_plays,def_havoc_total,def_standard_downs,def_standard_downs_rate,def_standard_down_ppa_total,def_standard_down_successful_plays,def_standard_downs_success_rate,def_standard_downs_explosiveness,def_passing_downs,def_passing_downs_rate,def_passing_downs_total_ppa,def_passing_down_successes,def_passing_downs_success_rate,def_passing_downs_explosiveness,Def_rushing_plays,def_rushing_plays_rate,def_rushing_plays_total_ppa,def_successful_rushes,def_rushing_plays_success_rate,def_rushing_plays_explosiveness,def_passing_plays,def_passing_plays_rate,def_passing_plays_ppa,def_passing_successes,def_passing_plays_success_rate,def_passing_plays_explosiveness
105,2020,Tulane,American Athletic,7539,1343,1719.151165,3385,0.4489985409,11235,4370,5224,1296,0.1719060883,5218,0.6921342353,753.4696325,2569,0.4923342277,11.01516923,2321,0.3078657647,965.6815327,816,0.351572598,21.92103134,3817,0.5063005704,553.5806499,1690,0.4427560912,10.88847646,3720,0.4934341425,1169.17,1693,0.4551075269,16.51468852,7399,1330,1290.153192,3101,0.4191106906,13.63727749,10571,4101,4796,1309,0.1769157994,4997,0.6753615353,603.029186,2358,0.4718831299,11.47838453,2402,0.3246384647,773.8629585,743,0.309325562,20.51685115,3689,0.4985808893,519.8897186,1541,0.4177283817,11.6375935,3708,0.5011488039,211.2977884,1558,0.4201725998,15.72316615
106,2020,Tulsa,American Athletic,7562,1360,1521.63903,3244,0.4289870405,11622,4468,5677,1274,0.1684739487,5109,0.6756149167,691.5271135,2430,0.475631239,11.65091461,2453,0.3243850833,830.1119168,814,0.331838565,21.01276296,3980,0.5263157895,555.8738755,1659,0.4168341709,11.27242165,3578,0.4731552499,974.3548469,1581,0.4418669648,17.03779347,7512,1355,1415.480705,3132,0.4169329073,14.16535303,10779,4031,5011,1314,0.1749201278,5065,0.6742545261,599.4430735,2354,0.4647581441,11.66062696,2447,0.3257454739,996.2123204,778,0.3179403351,21.92880442,3890,0.5178381257,421.9444407,1599,0.4110539846,11.28126501,3618,0.481629393,530.5219515,1529,0.4226091763,17.34441776
107,2020,UAB,Conference USA,7241,1265,1439.528448,3144,0.4341941721,12360,4564,5518,1170.5,0.1616489435,5002,0.6907885651,656.8565983,2395,0.4788084766,11.27712562,2239,0.3092114349,782.6718495,749,0.3345243412,21.45303042,3962,0.5471619942,730.829651,1786,0.4507824331,11.03337972,3276,0.4524236984,714.3658887,1355,0.4136141636,17.24473002,7011,1271,1258.448628,2983,0.4254742547,13.22585416,10729,3739,4708,1148,0.1637426901,4759,0.6787904721,601.1475964,2265,0.4759403236,11.06693404,2252,0.3212095279,802.8273943,718,0.3188277087,19.96486119,3653,0.5210383683,459.5774574,1573,0.4306049822,10.46532079,3356,0.4786763657,266.9319686,1408,0.4195470799,16.32198865
108,2020,UCF,American Athletic,6484,1184,1231.83192,2748,0.4238124614,9923,3913,5051,1158,0.1785934608,4366,0.6733497841,543.4923513,2061,0.4720568026,10.41102373,2118,0.3266502159,688.3395685,687,0.3243626062,19.10874805,3445,0.5313078347,500.3181375,1444,0.4191582003,10.41155324,3036,0.468229488,737.2090579,1301,0.4285243742,15.23113819,6602,1183,1255.573581,2754,0.4171463193,12.76644402,10294,3881,4514,1123,0.1700999697,4432,0.6713117237,469.3844212,2068,0.4666064982,10.18392059,2170,0.3286882763,782.6989689,686,0.3161290323,20.66282897,3557,0.5387761284,474.8829325,1489,0.4186111892,10.38927461,3044,0.4610724023,462.2050517,1264,0.4152431012,15.73975826
109,2020,UCLA,Pac-12,5101,908,1011.357715,2252,0.4414820623,7046,2605,3378,796,0.1560478338,3515,0.6890805724,400.7269521,1704,0.4847795164,11.7238134,1586,0.3109194276,610.6307625,548,0.3455233291,22.85178707,2451,0.4804940208,337.1089734,1096,0.4471644227,11.63575566,2650,0.5195059792,674.2487412,1156,0.4362264151,17.15325587,4946,899,1033.721768,2193,0.4433885968,14.61337765,7591,3068,4326,837.5,0.1693287505,3428,0.6930853215,504.0317754,1696,0.4947491249,12.36316856,1518,0.3069146785,572.2274306,497,0.3274044796,22.30674664,2553,0.5161746866,463.1393679,1175,0.4602428515,12.61529548,2392,0.4836231298,345.8773671,1017,0.4251672241,17.11176411
110,2020,UMass,FBS Independents,5358,901,1262.736248,2434,0.4542739828,9026,3468,3985,888,0.1657334826,3761,0.7019410228,603.3830195,1876,0.4988035097,8.144957723,1597,0.2980589772,659.3532281,558,0.3494051346,15.18682138,3068,0.5726017171,571.6376856,1414,0.4608865711,7.949969908,2287,0.4268383725,701.4501609,1017,0.4446873634,12.17781028,4992,918,865.3331234,2166,0.4338942308,9.587098948,7353,2988,3333,878.5,0.1759815705,3398,0.6806891026,368.7896891,1657,0.4876397881,8.047617115,1594,0.3193108974,532.3921786,509,0.3193224592,14.76319903,2526,0.5060096154,336.6279004,1111,0.4398258116,8.013547154,2464,0.4935897436,222.2544759,1053,0.4273538961,11.27919096
111,2020,UNLV,Mountain West,5860,1041,1200.9778,2533,0.4322525597,9142,3516,5186,885.5,0.151109215,4083,0.6967576792,585.7969308,1968,0.4819985305,11.58152423,1777,0.3032423208,615.1808687,565,0.3179516038,21.44676937,3078,0.5252559727,546.9904895,1351,0.4389213775,11.98473734,2781,0.4745733788,656.0689479,1181,0.4246673858,16.14636833,5805,1034,977.5474308,2432,0.4189491817,13.46754048,8407,3197,3791,980,0.1688199828,3946,0.6797588286,365.5779733,1840,0.4662949823,11.09903097,1859,0.3202411714,565.9280075,592,0.31845078,20.97302413,2919,0.5028423773,416.9623818,1256,0.430284344,11.45645976,2883,0.4966408269,263.6468839,1173,0.406867846,15.82508738
112,2020,USC,Pac-12,5531,963,1292.468694,2540,0.4592297957,8464,3470,4722,812,0.1468088953,3874,0.700415838,654.8250478,1972,0.5090345896,12.04340629,1657,0.299584162,637.6436459,568,0.3427881714,21.93719661,2840,0.5134695353,525.3747411,1311,0.4616197183,12.41749607,2690,0.4863496655,768.7389828,1228,0.4565055762,16.54867346,5380,972,978.2533571,2311,0.4295539033,14.67079491,7638,2985,3815,900,0.1672862454,3651,0.6786245353,385.8554678,1742,0.4771295535,12.23864937,1729,0.3213754647,644.3251475,569,0.3290919607,22.37086313,2657,0.493866171,342.2761296,1164,0.4380880693,12.27554309,2721,0.5057620818,407.1731189,1145,0.420801176,17.36474532
113,2020,Utah,Pac-12,4953,872,1168.962551,2290,0.4623460529,7527,3056,4158,788,0.1590954977,3472,0.7009892994,647.9911084,1792,0.5161290323,11.1923616,1481,0.2990107006,520.9714429,498,0.3362592843,20.51499142,2557,0.5162527761,450.7971528,1186,0.4638247947,11.25180283,2395,0.4835453261,719.8104287,1103,0.4605427975,15.53811686,4971,882,901.0300116,2143,0.4311003822,13.4079771,7177,2796,3595,805.5,0.162039831,3422,0.6883926775,357.7501165,1637,0.4783752192,11.05484312,1549,0.3116073225,557.2740606,506,0.3266623628,20.8736236,2508,0.5045262523,345.4009812,1106,0.4409888357,11.54401198,2462,0.495272581,242.2578332,1036,0.4207961007,15.64357215
114,2020,Utah State,Mountain West,4619,826,1003.249008,2036,0.4407880494,7250,2815,3405,713.5,0.1544706646,3193,0.6912751678,493.6729868,1570,0.4917005951,10.27682296,1426,0.3087248322,509.5760209,466,0.3267882188,18.82288029,2411,0.5219744533,442.7986972,1091,0.4525093322,10.46236429,2208,0.4780255467,560.4503104,945,0.4279891304,14.61376346,4636,833,847.2136961,1930,0.4163071613,12.62447436,7064,2492,2915,731,0.1576790336,3137,0.6766609146,353.0349549,1464,0.4666879184,10.29876648,1499,0.3233390854,535.5669611,466,0.3108739159,20.01489086,2412,0.5202761001,311.646735,1018,0.4220563847,10.18464967,2224,0.4797238999,248.0244496,912,0.4100719424,15.28970026
